# Korean UI strings -- In Falsus
# Format: <Key><TAB><KeyName><TAB><korean>. Key is the integer
# Str.Strings.Key enum value; KeyName is that enum member's name
# (informational only -- pack-ui-strings matches by Key, never by name).
# Only rows this project translates are listed; everything else keeps
# its English text (format strings, judgment badges like EXACT/NEAR,
# debug/unused entries, language self-names).
1	DiveFailed	다이브 실패
2	DiveCleared	다이브 클리어
3	FullLink	풀 링크
4	PerfectDive	퍼펙트 다이브
5	DiveResults	다이브 결과
10	Minimal	미니멀
11	Evolved	에볼브드
12	Ultimate	얼티밋
13	Forbidden	포비든
18	Card	카드
19	Blueprint	설계도
20	BlueprintAcquired	설계도 획득
21	Craft	제작
22	CreateCard	카드 제작
23	CardObtained	카드 제작 완료
24	Iota	입자
25	Potency	출력
26	Inventory	인벤토리
27	Blanktile	빈 칸
28	Zone	컬러존
29	Darktile	다크 타일
30	MasteryState	마스터리 현황
31	Fog	안개
32	Discovery	발견
33	Intuition	힌트 정확도
34	IntuitionAccuracy	힌트 정확도
35	ConceptionChallenges	컨셉션 챌린지
36	Conception	컨셉션
37	MasteryComplete	마스터리 완료
38	IotaLimit	입자 한도
39	TheorecticalIotaCapacity	이론상 입자 용량
40	Penalties	페널티
41	Overload	과부하
42	OutofBounds	범위 이탈
43	Overlap	중복
44	Disconnect	단절
45	Falsehood	거짓
46	IgnorePenatlies	페널티 무시
47	IgnoreOverload	과부하 무시
48	IgnoreBounds	범위 이탈 무시
49	IgnoreOverlap	중복 무시
50	IgnoreDisconnects	단절 무시
51	IgnoreFalsehood	거짓 무시
52	Encounter	인카운터
53	Connect	커넥트
54	Reflect	리플렉트
55	opponent	상대
56	Remembrance	리멤브런스
57	Connected	커넥트 성공
58	ConnectFailed	커넥트 실패
59	Collapsed	붕괴
60	ReflectionComplete	리플렉트 완료
61	ReflectionFailed	리플렉트 실패
62	Loadout	로드아웃
64	ResolveDamage	HP 피해
65	Power	공격력
66	Defence	방어력
67	Resonance	공명
68	Dissonance	중복
69	Broken	파손
70	EncounterScore	인카운터 점수
71	Pulse	펄스
72	CriticalPulse	크리티컬 펄스
73	ActivationPhases	발동 페이즈
74	AffinityBonus	친화 보너스
75	ChromaticBonus	크로매틱 보너스
76	DifficultyBonus	난이도 보너스
77	Skills	스킬
78	Traits	특성
79	Range	범위
80	Color	색상
81	Play	시작
82	Options	옵션
83	Credits	크레딧
84	Quit	종료
85	Pressanykey	아무 키나 누르세요
86	Recipes	설계도
87	Recipes_Upper	설계도
88	Cards	카드
89	Cards_Upper	카드
90	Iota_Upper	입자
91	Scenario_Upper	시나리오
92	MusicPlay_Upper	뮤직 플레이
93	Skill_Upper	스킬
94	Skills_Upper	스킬
95	Traits_Upper	특성
96	Color_Upper	색상
97	Properties_Upper	스탯
98	IotaLimit_Upper	입자 한도
99	Power_Upper	공격력
100	Fortitude_Upper	방어력
101	Range_Upper	카드 범위
102	Craft_Upper	제작
103	Mastery	마스터리
104	Mastered_Upper	마스터리 완료
105	Intuition_Upper	힌트
106	Accuracy_Upper	정확도
107	IotaUsed	사용한 입자
108	AveragePotency	평균 출력
109	Strikes_Upper	페널티
110	TotalStrikes_Upper	총 페널티
111	Potency_Upper	출력
112	CreateCard_Upper	카드 제작
117	Cancel	취소
118	SongObtained	곡 해금
119	RecipeObtained	설계도 해금
120	StartUpper	시작
121	ClearUpper	클리어
122	ReReadStoryDescription	시나리오를 다시 읽으시겠습니까?
123	ReReadStory	다시 읽기
124	ChallengeSong	곡 도전
125	ContinueStoryDescription	중단한 부분부터 이어서 읽으시겠습니까?
126	StartOver	처음부터
127	Continue	계속
128	MonthUpper	월
129	ContinueUpper	계속
130	LockedUpper	잠김
131	SortButtonDescription_PotencyDescBaseIdAsc	출력 우선⏎(내림차순)
132	SortButtonDescription_PotencyAscBaseIdAsc	출력 우선⏎(오름차순)
133	SortButtonDescription_BaseIdAscPotencyDesc	타입별 우선⏎(출력 내림차순)
134	SortButtonDescription_BaseIdAscPotencyAsc	타입별 우선⏎(출력 오름차순)
135	DeleteUpper	삭제
136	FloatingDeleteSelectTextFormat	{0}개 선택됨
137	UnreadUpper	안 읽음
138	Delete	삭제
139	CardUnlinkedUpper	카드 미연결
140	BackButtonTextUpper	뒤로
141	RemembranceUpper	리멤브런스
142	DifficultyRatingUpper	난이도 레이팅
143	TotalPowerUpper	총 공격력
144	TotalDefenseUpper	총 방어력
145	DifficultyUpper	난이도 배율
146	MeditateUpper	리플렉트
147	CraftingUpper	카드 제작
148	GameRank_None	없음
162	FreePlay	미연결
163	Conflict	커넥트
164	Meditation	리플렉트
170	TimeOfDay_AfterMidnightUpper	자정 이후
171	TimeOfDay_SunriseUpper	새벽
172	TimeOfDay_MorningUpper	아침
173	TimeOfDay_NoonUpper	정오
174	TimeOfDay_AfternoonUpper	오후
175	TimeOfDay_EveningUpper	저녁
176	TimeOfDay_NightUpper	밤
177	TimeOfDay_LateNightUpper	심야
178	TimeOfDay_MidnightUpper	자정
179	TimeOfDay_AfterMidnight	자정 이후
180	TimeOfDay_Sunrise	새벽
181	TimeOfDay_Morning	아침
182	TimeOfDay_Noon	정오
183	TimeOfDay_Afternoon	오후
184	TimeOfDay_Evening	저녁
185	TimeOfDay_Night	밤
186	TimeOfDay_LateNight	심야
187	TimeOfDay_Midnight	자정
190	TimelineReadRequirementStoryIdentifier	<b>읽음</b>: {0}, {2}월 {1}일, {3}
192	SlotUnavailable	빈 슬롯 없음
193	NoTraitSelected	특성 미선택
212	Selected_Int_Iotas	입자 {0}개 선택됨
213	PlayUpper	플레이
214	HandSelectUpper	로드아웃
216	Selected_Int_Cards	카드 {0}개 선택됨
217	Illustrator_NonTranslatedName	일러스트: {0}
220	BonusScoreMillionsCompressable	보너스 +{0:###}'{1:000}'{2:000}
221	BonusScoreThousandsCompressable	보너스 +{0:###}{1:000}
222	BonusScoreHundredsCompressable	보너스 +{0:##0}
226	HexColor_Red	빨강
227	HexColor_Yellow	노랑
228	HexColor_Green	초록
229	HexColor_Blue	파랑
230	HexColor_Purple	보라
231	ChangeTo_HexColor	카드 색상을 {0}(으)로 변경
232	TraitSlotsUpper_Plus_Int	특성 슬롯 +{0}
233	RangeUpper_Plus_Int	카드 범위 +{0}
234	HighscoreUnplayed	최고 점수: -
235	Highscore_Score	최고 점수: {0:000'000'000}
236	Nia	니아
237	Mei	메이
238	Ayame	아야메
239	Iris	아이리스
240	Story	스토리
241	Freya	프레이야
242	Touko	토코
243	Keats	키츠
244	Io	이오
245	Hana	하나
246	Raine	레인
247	Wren	렌
248	Aria	아리아
249	Fell	펠
250	Extras	사이드 캐릭터
252	Lily	릴리
253	Lynn	린
254	Mireille	미레유
255	Jeremy	제레미
256	NiaUpper	니아
257	MeiUpper	메이
258	AyameUpper	아야메
259	IrisUpper	아이리스
260	StoryUpper	스토리
261	FreyaUpper	프레이야
262	ToukoUpper	토코
263	KeatsUpper	키츠
264	IoUpper	이오
265	HanaUpper	하나
266	RaineUpper	레인
267	WrenUpper	렌
268	AriaUpper	아리아
269	FellUpper	펠
270	ExtrasUpper	사이드 캐릭터
272	LilyUpper	릴리
273	LynnUpper	린
274	MireilleUpper	미레유
275	JeremyUpper	제레미
276	NavigateToLatestEntryFor_Character	{0}의 최신 항목으로 이동
280	CraftingStrikeTooltip_OverloadPenalties	<b>과부하 페널티</b>는 입자 한도를 초과해⏎배치된 입자 개수만큼 발생합니다.
281	CraftingStrikeTooltip_OutOfBoundsPenalties	<b>범위 이탈 페널티</b>는 안전하지 않은 칸에⏎배치된 입자 개수만큼 발생합니다. 빈 칸과 컬러존만⏎안전한 칸으로 취급되며, 입자 하나당 페널티는⏎최대 1개까지만 발생합니다.
282	CraftingStrikeTooltip_OverlapPenalties	<b>중복 페널티</b>는 여러 개의 입자가 겹쳐⏎배치된 칸의 개수만큼 발생합니다. 한 칸에 입자가⏎몇 개 겹치든 페널티는 최대 1개까지만 발생합니다.
283	CraftingStrikeTooltip_DisconnectPenalties	<b>단절 페널티</b>는 입자 무리가 서로 떨어져⏎있을 때 발생합니다. 첫 번째 무리를 제외한⏎무리마다 페널티가 1개씩 추가됩니다.
284	InMasteryUpper	마스터리 진행 중
286	InDiscoveryUpper	발견 진행 중
287	NextEntryUpper	다음 항목
288	ToTimelineUpper	타임라인으로
289	Sort_SongNameAscUpper	제목순(오름차순)
290	Sort_SongNameDescUpper	제목순(내림차순)
291	Sort_ArtistAscUpper	아티스트순(오름차순)
292	Sort_ArtistDescUpper	아티스트순(내림차순)
293	Sort_LevelAscUpper	레벨순(오름차순)
294	Sort_LevelDescUpper	레벨순(내림차순)
295	Sort_GradeAscUpper	등급순(오름차순)
296	Sort_GradeDescUpper	등급순(내림차순)
297	Sort_ClearAscUpper	클리어순(오름차순)
298	Sort_ClearDescUpper	클리어순(내림차순)
299	SelectACard	카드를 선택하세요
300	DiveFailedUpper	다이브 실패
301	DiveClearedUpper	다이브 클리어
302	FullLinkUpper	풀 링크
303	PerfectDiveUpper	퍼펙트 다이브
304	SelectAnIota	입자를 선택하세요
